"FILE_NAME","Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"SPRING_2000","EMCB 120",0,"U0030676","JOHNSON, C. R.","CP SC 6630-001","Scientifc Visualization","LECTURE","T1400|H1400",80
"SPRING_2000","EMCB 103",0,"U0031097","SMITH, K. F.","CP SC 6720-001","Adv IC Design II","LECTURE","M1400|W1400",80
"SPRING_2000","MIL S 208",0,"U0030884","MYERS, C. J.","CP SC 6750-001","Syn & Ver Asyn VLSI Sys","LECTURE","M1530|W1530",90
"SPRING_2000","EMCB 122",0,"U0096971","KIM, Y.","CP SC 6770-001","Adv Digital VLSI","LECTURE","T1150|H1150",80
"SPRING_2000","EMCB 105",0,"U0034190","KESSLER, R. R.","CP SC 6930-001","Seminar","SEMINAR","T1540|H1540",80
"SPRING_2000","MEB 3225",30,"U0028138","LINDSTROM, G. E.","CP SC 6931-001","Seminar","SEMINAR","F1045",80
"SPRING_2000","MEB 3151",1,"U0030884","MYERS, C. J.","CP SC 6932-001","Seminar","SEMINAR","F1530",90
"SPRING_2000","EMCB 120",0,"U0028245","GOPALAKRISHNAN, G.","CP SC 6933-001","Seminar","SEMINAR","M1045|F1045",80
"SPRING_2000","MEB 3110",40,"U0034190","KESSLER, R. R.","CP SC 6934-001","Seminar","SEMINAR","F0940",50
"SPRING_2000","NS 204",50,"U9999994","LEPREAU III, F. J.","CP SC 6935-001","Seminar","SEMINAR","W1255",80
"SPRING_2000","MEB 3110",40,"U0028553","RIESENFELD, R. F.","CP SC 6936-001","Seminar","SEMINAR","T1400|H1400",80
"SPRING_2000","EMCB 114",0,"U0031775","SIKORSKI, C.","CP SC 6939-001","Seminar","SEMINAR","W1500",60
"SPRING_2000","MEB 3151",1,"U0028245","GOPALAKRISHNAN, G.","CP SC 6940-001","Seminar","SEMINAR","F1300",60
"SPRING_2000","EMCB 110",0,"U0029088","HANSEN, C. D.","CP SC 6960-001","Special Topics","SPECIAL TOPICS","M1045|W1045|F1045",50
"SPRING_2000","MEB 3151",1,"U0080973","LIVNAT, Y.","CP SC 6963-001","Special Topics","SPECIAL TOPICS","T0910|H0910",80
"SPRING_2000","NS 205",45,"U0028245","GOPALAKRISHNAN, G.","CP SC 6964-001","Special Topics","SPECIAL TOPICS","T1045|H1045",80
"SPRING_2000","MEB 3151",1,"U0031775","SIKORSKI, C.","CP SC 7120-001","Info-Based Complexity","LECTURE","T1045|H1045",80
"SPRING_2000","EMCB 105",0,"U0035573","STENGER, F.","CP SC 7240-001","Sinc Methods","LECTURE","M1400|W1400",115
"SPRING_2000","EMCB 120",0,"U0028828","MEEK, S. G.","CP SC 7310-001","Advanced Robotics","LECTURE","M1715|W1715|F1715",50
"SPRING_2000","MEB 4560",1,"U0029067","CARTER, J. B.","CP SC 7460-001","Adv Operating Systems","LECTURE","M1540|W1540",80
"SPRING_2000","MEB 3151",1,"U0035173","THOMPSON, W. B.","CP SC 7960-001","Special Topics","SPECIAL TOPICS","M1445|W1445",75
"SUMMER_2000","EMCB 102",0,"U0027837","HANSCOM, D.","CP SC 1010-001","Introduction To Unix","LECTURE","M1600",60
"SUMMER_2000","EMCB 102",0,"U0027837","HANSCOM, D.","CP SC 1010-002","Introduction To Unix","LECTURE","M1700",60
"SUMMER_2000","EMCB 101",0,"U0029417","WINTERS, J. D.","CP SC 1020-001","Introduction to C++","LECTURE","T1030|H1030",90
